shuffle_ds,Var2,Var3,split_prcnts,net_cnn_name,freeze_layers,win_len,overlap_win,overlap_spectrograms,spectrum_type,win_norm,filter_bank_norm,miniBatchSize,InitialLearnRate,L2Regularization,LearnRateDropFactor,ValidationPatience,acc,uar,F1,sensitivity,PPV,specificity,loss_train,loss_val
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.8,power,0,none,16,0.0003,0.003,0.7,5,71.214,70.652,61.674,68.98,55.94,72.32,0.588287435251992,0.660036063194275
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.85,power,0,none,32,0.001,0.0003,0.9,5,71.086,72.946,64.642,78.64,54.92,67.28,0.665014958952333,0.636742806434631
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.8,power,0,none,32,0.0003,0.0001,0.99,5,71.034,74.138,65.574,83.46,54.34,64.82,0.619663226521984,0.712355375289917
0.6,0.2,0.2,train_val,openl3,no,128,0.5,0.85,magnitude,1,none,16,0.01,0.0001,0.9,5,70.308,70.504,61.494,71.06,54.56,69.98,0.625614114194613,0.647126245498657
0.6,0.2,0.2,train_val,openl3,no,128,0.5,0.85,power,0,none,64,0.0003,0.0001,0.9,5,70.806,70.69,61.948,70.34,55.92,71,0.664761630138748,0.769506704807281
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.85,magnitude,1,none,16,0.0001,0.0003,0.99,5,71.69,72.89,64.598,76.58,55.96,69.22,0.684420915185503,0.703038465976715
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.85,magnitude,1,none,16,0.0001,0.0001,0.99,5,71.416,71.498,62.602,71.74,55.68,71.28,0.643992956087912,0.714328849315643
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.9,magnitude,1,none,16,0.0001,0.0003,0.9,5,71.608,71.48,62.7,71.06,56.64,71.92,0.711566877365112,0.712824440002441
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.9,power,0,none,32,0.0001,0.001,0.9,5,70.202,71.6,63.008,75.88,53.96,67.36,0.742543995380402,0.710537326335907
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.85,power,0,none,16,0.0001,0.0003,0.9,5,72.51,73.178,64.72,75.2,57.38,71.2,0.711301064491272,0.7205042719841
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.85,power,0,none,32,0.003,0.001,0.9,5,70.114,71.896,63.228,77.28,54.08,66.56,0.596062966511159,0.608575880527496
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.9,power,0,none,32,0.0001,0.0001,0.9,5,72.798,73.558,65.128,75.86,57.38,71.24,0.3262927845501,1.04343203306198
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.85,magnitude,0,none,64,0.0001,0.0003,0.99,5,70.284,71.854,63.32,76.58,54.36,67.14,0.710675597190857,0.709330379962921
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.85,magnitude,1,none,64,0.01,0.003,0.7,5,70.038,70.964,62.12,73.8,54.18,68.12,0.584267011580535,0.637663817405701
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.85,magnitude,1,none,32,0.0003,0.01,0.99,5,72.5,74.352,65.996,80.02,56.58,68.7,0.606144295355931,0.608502280712128
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.8,magnitude,0,none,16,0.01,0.0001,0.7,5,70.654,71.766,63.07,75.2,54.78,68.36,0.635538736627084,0.653613710403442
