shuffle_ds,,,split_prcnts,net_cnn_name,freeze_layers,win_len,overlap_win,overlap_spectrograms,spectrum_type,win_norm,filter_bank_norm,miniBatchSize,InitialLearnRate,L2Regularization,LearnRateDropFactor,ValidationPatience,acc,uar,F1,sensitivity,PPV,specificity,loss_train,loss_val
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.75,magnitude,1,none,64,0.0003,0.0003,0.9,5,68.754,69.84,61.186,73.12,52.78,66.56,0.677673894012129,0.687850439548492
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.8,magnitude,0,none,32,0.003,0.001,0.9,5,53.428,58.488,51.65,73.82,40.06,43.2,0.699964317605975,0.683878588676453
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.8,power,0,none,16,0.0003,0.003,0.7,5,71.214,70.652,61.674,68.98,55.94,72.32,0.588287435251992,0.660036063194275
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.8,power,1,none,32,0.01,0.01,0.9,5,47.9,52.798,47.104,67.6,36.54,38.02,0.751819215309837,0.698508298397064
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.9,magnitude,1,none,32,0.0003,0.01,0.9,5,61.81,64.944,56.628,74.48,46,55.4,0.560744758938963,0.962152886390686
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.9,magnitude,0,none,16,0.0001,0.01,0.99,5,69.802,70.45,61.782,72.44,54.12,68.48,0.581241915739547,0.633957850933075
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.8,power,0,none,32,0.0003,0.001,0.9,5,68.432,69.426,60.418,72.42,52.22,66.42,0.660008847456396,0.719253969192505
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.8,power,1,none,16,0.0003,0.003,0.9,5,63.874,66.974,58.774,76.36,47.86,57.6,0.63107517577267,0.667212617397308
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.8,power,1,none,64,0.0001,0.01,0.7,5,66.042,67.958,59.426,73.8,50.18,62.12,0.617451258460627,0.663924336433411
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.8,magnitude,1,none,32,0.01,0.01,0.9,5,58.36,61.332,53.628,70.36,44.06,52.32,0.663672699870102,0.677754259109497
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.9,power,0,none,16,0.0003,0.001,0.9,5,68.204,69.422,60.474,73.12,51.92,65.74,0.692043632595349,0.703998267650604
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.75,power,1,none,32,0.003,0.001,0.9,5,53.786,49.828,19.636,37.26,NaN,62.42,0.698645792440942,0.693875300884247
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.85,power,1,none,16,0.0003,0.0003,0.99,5,66.82,68.732,59.942,74.48,50.34,62.98,0.694640970361696,0.708501124382019
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.8,magnitude,0,none,32,0.01,0.0001,0.99,5,67.288,68.404,59.318,71.74,50.96,65.08,0.620755954725213,0.654196894168854
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.75,power,0,none,16,0.003,0.0001,0.9,5,43.792,53.176,49.004,81.4,35.38,24.96,0.695021600851151,0.689006614685059
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.8,power,0,none,16,0.0003,0.001,0.9,5,65.558,68.108,60.006,75.88,50.1,60.34,0.591334767729731,0.684249758720398
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.8,power,0,none,64,0.003,0.0003,0.9,5,68.742,70.506,61.958,75.88,52.62,65.14,0.642852902302453,0.663966202735901
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.85,magnitude,1,none,16,0.0003,0.003,0.99,5,67.452,69.036,60.34,73.82,52.08,64.28,0.582392667488372,0.644950187206268
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.8,power,1,none,32,0.003,0.001,0.99,5,43.078,52.272,47.88,79.6,34.92,24.94,0.691734102570689,0.696208643913269
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.8,power,1,none,16,0.01,0.0003,0.9,5,53.928,57.678,50.23,68.96,39.74,46.42,0.750122276051924,0.69533839225769
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.8,power,0,none,16,0.01,0.01,0.99,5,50.806,54.482,47.334,65.54,37.32,43.44,0.836870576422294,0.705437254905701
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.85,power,1,none,16,0.0003,0.0003,0.99,5,62.034,64.606,56.37,72.44,46.52,56.82,0.718141705299427,0.685631239414215
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.75,power,0,none,32,0.003,0.0001,0.9,5,40.096,51.412,48.612,85.52,34.24,17.3,0.717668932672424,0.692006933689117
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.75,magnitude,0,none,64,0.0003,0.003,0.7,5,65.29,66.726,57.598,71.06,48.54,62.42,0.663368142362198,0.783358764648437
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.85,power,0,none,32,0.001,0.0003,0.9,5,71.086,72.946,64.642,78.64,54.92,67.28,0.665014958952333,0.636742806434631
0.6,0.2,0.2,train_val,openl3,no,128,0.5,0.9,power,0,none,32,0.001,0.001,0.9,5,69.272,70.576,62.098,74.5,54.2,66.66,0.707398383841787,0.675344550609589
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.8,power,0,none,32,0.0003,0.0001,0.99,5,71.034,74.138,65.574,83.46,54.34,64.82,0.619663226521984,0.712355375289917
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.9,power,1,none,16,0.001,0.003,0.7,5,43.884,54.224,50.784,85.54,37.22,22.94,0.695207849972782,0.693503046035767
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.85,magnitude,0,none,32,0.003,0.001,0.9,5,64.288,66.658,58.294,73.82,48.46,59.5,0.648188307056535,0.663227891921997
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.85,magnitude,1,none,16,0.01,0.001,0.7,5,68.046,69.302,60.606,73.1,52.22,65.5,0.646610671359473,0.648264467716217
