shuffle_ds,balance_ds,split_prcnts,,,net_cnn_name,freeze_layers,numHiddenUnits,drop_prob,MaxEpochs,miniBatchSize,InitialLearnRate,L2Regularization,LearnRateDropFactor,ValidationPatiences,acc,uar,F1,sensitivity,PPV,specificity,loss_train_best,loss_val_best,loss_train_end,loss_val_end
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.3,20,4,0.01,0.003,0.9,10,49.3,49.3,66.1,98.6,49.7,0,1.0309018919321,0.693487048149109,0.826342560521,0.864137232303619
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.01,20,8,0.001,0.01,0.99,10,50.3,50.3,66.2,97.3,50.2,3.4,0.6947781618582,0.693147301673889,0.693284765842858,0.693147301673889
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.3,20,4,0.0003,0.001,0.99,10,54.8,54.8,57.1,60.3,54.3,49.3,0.698579762079944,0.691955029964447,0.693863447670523,0.693265080451965
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.01,20,8,0.0001,0.0003,0.9,10,58.9,58.9,59.5,60.3,58.7,57.5,0.65906211870526,0.669940829277039,0.00198967908987687,2.48169112205505
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.1,20,4,0.003,0.01,0.9,10,53.1,53.1,56.5,61,52.7,45.2,0.719673957182392,0.691586792469025,0.708668926807299,0.692683517932892
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.01,20,4,0.01,0.0003,0.7,10,50,50,0,0,NaN,100,0.697146410403186,0.693147301673889,0.697146410403186,0.693147301673889
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.03,20,8,0.01,0.0003,0.7,10,50,50,0,0,NaN,100,0.697975605452826,0.693155229091644,0.697975605452826,0.693155229091644
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.1,20,8,0.0003,0.01,0.7,10,51,51,57.8,67.1,50.8,34.9,0.685851040236447,0.674107670783997,0.688735721854989,0.68871283531189
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.01,20,4,0.0001,0.01,0.99,10,55.1,55.1,58.7,63.7,54.4,46.6,0.697211997149742,0.688352942466736,0.693746154711127,0.693088471889496
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.01,20,4,0.0001,0.0003,0.7,10,54.5,54.5,57.5,61.6,53.9,47.3,0.688437144505923,0.682543516159058,0.0182315420848955,1.652827501297
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.01,20,4,0.0001,0.0001,0.7,10,56.8,56.8,58.3,60.3,56.4,53.4,0.65446653540276,0.67938357591629,0.0528049666662972,1.86329877376556
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.01,20,8,0.01,0.001,0.7,10,48.6,48.6,64.8,94.5,49.3,2.7,0.690703925189622,0.685544908046722,0.699085509011505,0.687721610069275
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.3,20,8,0.01,0.0001,0.99,10,50,50,0,0,NaN,100,0.842896573313879,0.69316029548645,1.50351050359393,1.61504507064819
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.03,20,8,0.003,0.01,0.99,10,50,50,0,0,NaN,100,0.694956918922039,0.693146705627441,0.693658089419024,0.693148136138916
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.1,20,8,0.0003,0.001,0.7,10,46.9,46.9,53.2,60.3,47.6,33.6,0.708641215201912,0.683790683746338,0.628379280687472,0.71454906463623
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.03,20,8,0.01,0.0003,0.7,10,50,50,0,0,NaN,100,0.973338440197323,0.694876492023468,0.723367090072107,0.709485232830048
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.01,20,4,0.0003,0.003,0.9,10,46.2,46.2,53.1,61,47.1,31.5,0.704078785360676,0.68801087141037,0.693802817771424,0.693151831626892
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.03,20,8,0.0001,0.01,0.7,10,53.4,53.4,57.2,62.3,52.9,44.5,0.680145964163159,0.685792207717896,0.625197323363855,0.719035744667053
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.01,20,8,0.003,0.001,0.9,10,49.7,49.7,57.6,68.5,49.8,30.8,0.715827698007636,0.693284809589386,0.707803796190734,0.694892048835754
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.03,20,8,0.01,0.0003,0.9,10,50.7,50.7,66,95.9,50.4,5.5,0.765754894379082,0.693191826343536,0.765754894379082,0.693191826343536
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.1,20,8,0.0001,0.003,0.9,10,55.8,55.8,58,61,55.3,50.7,0.675565037705483,0.688943564891815,0.555646091973016,0.776944279670715
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.3,20,8,0.003,0.0001,0.99,10,50,50,66.7,100,50,0,0.846303157303311,0.683477520942688,0.762287088490407,0.791033267974854
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.03,20,8,0.003,0.0001,0.9,10,49.7,49.7,66.4,99.3,49.8,0,0.70566186226836,0.693150043487549,0.698071935308089,0.69404524564743
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.03,20,4,0.0001,0.0001,0.9,10,57.5,57.5,58.7,60.3,57.1,54.8,0.674705190065245,0.674386918544769,0.000337274928020513,2.51160025596619
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.3,20,8,0.01,0.003,0.99,10,49.7,49.7,66.4,99.3,49.8,0,2.33329140647836,0.693126797676086,1.80813234114866,1.05266380310059
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.1,20,8,0.01,0.01,0.7,10,45.2,45.2,54.3,65.1,46.6,25.3,0.883396838509708,0.692765712738037,0.71591388577715,0.697596848011017
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.3,20,4,0.0003,0.003,0.9,10,51.4,51.4,55.6,61,51.1,41.8,0.696827198544594,0.69204568862915,0.694296060903976,0.693299472332001
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.1,20,4,0.01,0.001,0.99,10,51.4,51.4,66.8,97.9,50.7,4.8,0.888486232523504,0.693335235118866,0.908052222471531,0.693572044372559
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.1,20,4,0.003,0.001,0.7,10,44.2,44.2,52.5,61.6,45.7,26.7,0.690685596640252,0.689785003662109,0.697228583026694,0.692340612411499
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.03,20,4,0.003,0.01,0.7,10,53.4,53.4,64,82.9,52.2,24,0.693676762112744,0.693151831626892,0.693159618606306,0.693152904510498
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.1,20,8,0.0003,0.01,0.9,10,56.2,56.2,59,63,55.4,49.3,0.697146479689747,0.685011148452759,0.693111608881469,0.692204535007477
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.03,20,4,0.003,0.003,0.9,10,50,50,66.7,100,50,0,0.69338846206665,0.693147301673889,0.693255156414694,0.693160355091095
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.1,20,8,0.001,0.0001,0.9,10,46.2,46.2,53.1,61,47.1,31.5,0.699944246252742,0.69296795129776,0.693312926576772,0.693163394927979
