shuffle_ds,balance_ds,split_prcnts,,,net_cnn_name,freeze_layers,numHiddenUnits,drop_prob,MaxEpochs,miniBatchSize,InitialLearnRate,L2Regularization,LearnRateDropFactor,ValidationPatiences,acc,uar,F1,sensitivity,PPV,specificity,loss_train_best,loss_val_best,loss_train_end,loss_val_end
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.03,20,4,0.0001,0.01,0.9,10,51.7,51.7,55.5,60.3,51.5,43.2,0.692508809,0.687461853,0.689617921,0.69324863
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.3,20,8,0.003,0.003,0.7,10,50,50,60.5,76.7,50,23.3,0.693061219,0.693146706,0.693184421,0.693147957
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.1,20,8,0.003,0.003,0.9,10,45.5,45.5,52.5,60.3,46.6,30.8,0.70439867,0.69055438,0.697180913,0.707488418
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.3,20,4,0.0001,0.01,0.7,10,58.6,58.6,59.3,60.3,58.3,56.8,0.682646947,0.677182615,0.677588969,0.682384491
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.01,20,8,0.0003,0.01,0.7,10,53.8,53.8,56.6,60.3,53.3,47.3,0.687916774,0.68648684,0.684152393,0.696373105
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.1,20,8,0.003,0.0001,0.7,10,50,50,0,0,NaN,100,0.697462356,0.693147361,0.695081696,0.693148851
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.01,20,8,0.0003,0.003,0.9,10,59.6,59.6,61.2,63.7,58.9,55.5,0.690349181,0.685958266,0.691135855,0.689464927
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.3,20,4,0.0003,0.0003,0.9,10,47.9,47.9,54.2,61.6,48.4,34.2,0.700348169,0.686589479,0.693644802,0.693160355
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.03,20,8,0.003,0.01,0.9,10,50,50,0,0,NaN,100,0.693233165,0.693147302,0.69323981,0.693150759
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.01,20,8,0.001,0.0001,0.7,10,53.1,53.1,56.5,61,52.7,45.2,0.692374971,0.692754269,0.692392669,0.693820953
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.3,20,4,0.0003,0.001,0.7,10,52.7,52.7,56.1,60.3,52.4,45.2,0.692411301,0.688620746,0.69106144,0.689815998
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.01,20,8,0.01,0.0001,0.99,10,50,50,0,0,NaN,100,0.76011356,0.694987118,0.76063929,0.743419111
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.03,20,8,0.003,0.0003,0.7,10,54.8,54.8,60.5,69.2,53.7,40.4,0.685823932,0.690449536,0.686014026,0.694898248
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,256,0.1,20,4,0.0001,0.003,0.99,10,57.2,57.2,58.5,60.3,56.8,54.1,0.68643404,0.674291372,0.6900554,0.686634064
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.3,20,8,0.0001,0.0003,0.9,10,62,62,63.4,65.8,61.1,58.2,0.673986363,0.674927056,0.001284787,2.566964149
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,512,0.1,20,8,0.0003,0.01,0.9,10,46.9,46.9,53.2,60.3,47.6,33.6,0.691146238,0.694070697,0.691007052,0.694446802
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.03,20,4,0.0003,0.0001,0.7,10,53.8,53.8,59.7,68.5,52.9,39,0.69619641,0.694806576,0.071233872,1.999031544
TrainVal,TrainVal,0.6,0.2,0.2,vggish,no,1024,0.1,20,8,0.003,0.0001,0.7,10,50,50,0,0,NaN,100,0.736249504,0.692241192,0.696586628,0.693351209
