datasetNames,"splitPrcnts,,",shuffleDatasets,changeSubjectsOrder,winLen,overlapCoeffWin,overlapCoeffSpectrograms,SpectrumType,WindowNormalization,FilterBankNormalization,numHiddenUnits,dropProb,MaxEpochs,miniBatchSize,InitialLearnRate,L2Regularization,LearnRateDropFactor,ValidationPatience,ACC,UAR,F1,sensitivity,PPV,specificity,auc,trainLOSS,valLOSS
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,256,0.75,0.8,power,1,none,256,0.01,30,4,0.01,0.001,0.99,10,37.03756708,50,54.05446582,100,37.03756708,0,48.22697104,0.824879812,0.694532323
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,256,0.75,0.85,power,0,none,1024,0.2,30,4,0.003,0.003,0.9,10,44.64944216,55.06333846,55.34151947,93.74113475,39.36298294,16.38554217,53.00879048,0.797140618,0.694507504
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,128,0.5,0.75,magnitude,1,none,256,0.3,30,4,0.01,0.0001,0.9,10,36.8103347,50,53.81206453,100,36.8103347,0,47.81663238,0.775879452,0.694138682
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,256,0.75,0.7,magnitude,0,none,1024,0.05,30,4,0.01,0.01,0.99,10,40.02818555,52.45696199,55.01728659,99.58333333,38.01193402,5.330590655,50.29909271,1.816033258,0.705910647
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,128,0.5,0.7,power,0,none,512,0.01,30,4,0.0001,0.0001,0.99,10,73.8120963,76.23757224,70.7909481,85.41666667,61.03427756,67.05847781,80.26239103,0.476422204,0.56143502
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,256,0.75,0.8,power,0,none,1024,0.2,30,4,0.003,0.01,0.99,10,40.13035819,52.06355911,54.41516945,97.08333333,37.85700169,7.043784896,52.76483985,0.815923458,0.699859869
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,256,0.75,0.8,magnitude,1,none,256,0.1,30,4,0.003,0.0001,0.7,10,36.69759248,50,53.69154479,100,36.69759248,0,49.75903614,0.697830288,0.694472253
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,256,0.75,0.85,magnitude,1,none,512,0.2,30,4,0.01,0.003,0.9,10,38.45419165,51.24185767,54.34604476,99.58333333,37.37727071,2.900382016,51.23710742,1.012491529,0.695710766
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,128,0.5,0.7,power,1,none,256,0.3,30,4,0.0001,0.0003,0.99,10,71.63963128,73.23968303,67.95050019,79.58333333,59.97713096,66.89603273,76.73858637,0.553063485,0.583374751
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,128,0.5,0.85,magnitude,0,none,256,0.2,30,4,0.001,0.003,0.9,10,38.74221961,51.13141591,54.02806945,97.91666667,37.3479068,4.346165148,51.30433319,0.711862713,0.693768072
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,128,0.5,0.85,magnitude,1,none,512,0.01,30,4,0.0003,0.003,0.99,10,45.77548057,55.58285309,55.9124606,92.91666667,40.39042892,18.24903952,51.13689892,0.700215664,0.694153178
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,256,0.75,0.7,magnitude,0,none,512,0.2,30,4,0.0001,0.001,0.9,10,72.82442748,74.68875502,68.70776164,81.66666667,59.75338409,67.71084337,79.21686747,0.519884017,0.540456069
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,128,0.5,0.8,power,1,none,512,0.3,30,4,0.0003,0.0001,0.7,10,54.20317087,61.42906994,59.1650277,88.75,44.84748877,34.10813988,61.59448771,0.641492534,0.659940863
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,128,0.5,0.8,power,1,none,256,0.2,30,4,0.0001,0.01,0.7,10,70.41915999,72.23384505,66.45546895,79.16666667,58.09952153,65.30102343,74.84781795,0.573473322,0.599418831
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,128,0.5,0.85,magnitude,1,none,512,0.1,30,4,0.01,0.0003,0.99,10,37.02142594,50.12195122,53.93394607,100,36.92482486,0.243902439,50.12195122,1.101245965,0.697478139
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,128,0.5,0.8,power,0,none,256,0.2,30,4,0.01,0.0001,0.99,10,37.91896653,50.96385542,54.18188796,100,37.15921417,1.927710843,50.72142227,0.854141636,0.694608963
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,256,0.75,0.7,magnitude,0,none,1024,0.3,30,4,0.01,0.01,0.99,10,40.09512625,52.47165491,55.13199273,99.58333333,38.14872292,5.359976491,50.22063865,2.180899621,0.729277289
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,256,0.75,0.7,power,1,none,1024,0.3,30,4,0.01,0.01,0.99,10,41.98879841,53.25545633,55.27404484,96.66666667,38.75019853,9.844245999,48.43469696,2.082374031,0.703659296
"voca,coughvid,coswara","0.6,0.2,0.2",train_val,no,256,0.75,0.75,magnitude,1,none,256,0.3,30,4,0.0001,0.001,0.9,10,77.95654727,77.95186845,72.31165257,77.91666667,67.77931336,77.98707023,80.88230973,0.466181863,0.521132618
